"STATION","NAME","DATE","AWND","CLDD","HTDD","PRCP","TAVG","TSUN"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2005-01","3.2","4.8","135.2","174.5","14.1","0"
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2005-02","3.5","0.0","106.5","176.6","14.5",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2005-03","3.6","0.0","110.6","27.4","14.8",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2005-04","3.9","3.0","87.7","22.9","15.5",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2005-05","3.7","9.2","27.7","8.5","17.7",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2005-06","3.7","8.6","9.7","0.0","18.3",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2005-07","3.5","65.1","2.5","0.0","20.4",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2005-08","3.5","79.2","0.0","0.0","20.9",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2005-09","3.2","42.9","0.4","6.4","19.8",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2005-10","2.7","29.1","29.4","25.7","18.3",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2005-11","2.6","26.8","46.0","11.9","17.7",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2005-12","2.6","1.9","104.6","24.1","15.0",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2006-01","3.1","5.8","124.6","36.1","14.5",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2006-02","3.0","9.9","103.6","51.5","15.0",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2006-03","4.0","0.0","176.9","64.1","12.6",
"USW00023174","LOS ANGELES INTERNATIONAL AIRPORT, CA US","2006-04","3.8","0.6","94.2","41.6","15.2",
