Water Use,Power Use,Date,Zip,M_dist,Month,Year,ZPOP,ZAREA,ZAREALAND,Nreturns,AGI,SW,EIC,AWND,CLDD,HTDD,PRCP,TAVG
16.7,396,2008-03-01,90230,0.27761620052065755,3,2008,31766,11785759,11672688,15572,1008925,765127.0,3537.0,3.2,6.7,91.5,0.8,15.6
30.18,970,2008-03-01,90272,0.17385673525883258,3,2008,22986,60557886,59133992,11165,3569670,1750980.0,355.0,3.2,6.7,91.5,0.8,15.6
27.64,472,2008-03-01,91607,0.1934078511167729,3,2008,27927,6376445,6318261,14046,814778,611688.0,2643.0,3.2,6.7,91.5,0.8,15.6
56.26,247,2008-03-01,90013,0.026888580321908943,3,2008,11772,1773762,1737681,3186,224173,115494.0,589.0,3.2,6.7,91.5,0.8,15.6
23.97,331,2008-03-01,90061,0.22165690434458432,3,2008,26872,6896569,6895207,10076,274753,238903.0,9757.0,3.2,6.7,91.5,0.8,15.6
38.6,504,2008-03-01,91352,0.1090455559187312,3,2008,47807,30813290,30221660,19128,725594,590656.0,11188.0,3.2,6.7,91.5,0.8,15.6
30.72,492,2008-03-01,91602,0.16970019881659332,3,2008,17473,5370807,5302419,10134,750225,555015.0,1006.0,3.2,6.7,91.5,0.8,15.6
2512.2,0,2008-03-01,91350,18.93097026542031,3,2008,33348,43948937,43886336,14808,1054201,898276.0,1865.0,3.2,6.7,91.5,0.8,15.6
23.45,594,2008-03-01,90068,0.2256594949926666,3,2008,22286,20202252,19731266,11769,1181249,763067.0,645.0,3.2,6.7,91.5,0.8,15.6
334.03,848,2008-03-01,90067,2.1649647424715472,3,2008,2424,849895,849895,3606,2706966,1433083.0,80.0,3.2,6.7,91.5,0.8,15.6
28.11,484,2008-03-01,90045,0.18979012495408315,3,2008,39480,27779824,27779045,17824,1463823,1086342.0,2467.0,3.2,6.7,91.5,0.8,15.6
39.58,266,2008-03-01,90029,0.10150221200503771,3,2008,38617,3526895,3526895,16273,466077,401892.0,9186.0,3.2,6.7,91.5,0.8,15.6
23.19,456,2008-03-01,91335,0.22766079031670772,3,2008,74363,17083043,17002131,30759,1203789,1009025.0,14143.0,3.2,6.7,91.5,0.8,15.6
33.16,500,2008-03-01,90292,0.15091881192943807,3,2008,21576,8131830,5280289,12371,1368014,881361.0,564.0,3.2,6.7,91.5,0.8,15.6
23.96,460,2008-03-01,90248,0.2217338772416628,3,2008,9947,12398396,12155495,5122,291550,217194.0,1567.0,3.2,6.7,91.5,0.8,15.6
22.22,474,2008-03-01,91331,0.23512716133332273,3,2008,103689,23048758,22928415,38355,1185647,1043358.0,28065.0,3.2,6.7,91.5,0.8,15.6
20.02,457,2008-03-01,91340,0.2520611986905939,3,2008,34188,8756157,8756157,13322,445814,391047.0,8511.0,3.2,6.7,91.5,0.8,15.6
39.27,590,2008-03-01,91325,0.10388837181447133,3,2008,32417,12494338,12486897,14277,862089,605192.0,3790.0,3.2,6.7,91.5,0.8,15.6
42.97,1904,2008-03-01,90210,0.07540839989542446,3,2008,21741,26383345,26226245,10430,4703101,1586884.0,520.0,3.2,6.7,91.5,0.8,15.6
415.0,0,2008-03-01,91201,2.7882142901162044,3,2008,22781,6143646,6116160,10115,494601,369000.0,3797.0,3.2,6.7,91.5,0.8,15.6
155.0,0,2008-03-01,90211,0.7869189660750692,3,2008,8434,1813980,1813980,5438,894757,471144.0,780.0,3.2,6.7,91.5,0.8,15.6
632.33,0,2008-03-01,90265,4.4610662623233575,3,2008,18116,298041072,279184812,7837,1771931,682034.0,533.0,3.2,6.7,91.5,0.8,15.6
0.0,394,2008-03-01,90245,0.4061609386417613,3,2008,16654,15142094,14148053,9379,851578,653697.0,736.0,3.2,6.7,91.5,0.8,15.6
22.6,447,2008-03-01,90035,0.23220219124433952,3,2008,28418,5330221,5330221,13469,1058332,708021.0,1906.0,3.2,6.7,91.5,0.8,15.6
24.45,408,2008-03-01,91605,0.21796220528481605,3,2008,56343,14189685,14151285,22243,734257,605003.0,13685.0,3.2,6.7,91.5,0.8,15.6
100.57,261,2008-03-01,90012,0.3679554872767654,3,2008,31103,8528623,8375660,8834,364793,288859.0,4741.0,3.2,6.7,91.5,0.8,15.6
